"","mos_since_start","mos_since_last_ck","exhaust_approx","n","cons_ub_adj","inc_adj","income_ub_adj","cons_adj","labor_broad_adj","inflow_paper_ck","mos_unemp","unemp","cons","cons_base_start_tmp","inc_base_start_tmp","cons_base_exhaust_tmp","inc_base_exhaust_tmp","cons_base_exhaust_immed_tmp","inc_base_exhaust_immed_tmp","labor_base_start_tmp","labor_base_exhaust_immed_tmp","d_cons_start","d_inc_start","d_cons_exhaust","d_inc_exhaust","d_cons_exhaust_immed","d_inc_exhaust_immed","labor_base_start","labor_base_exhaust_immed","d_cons_start_ex_wr"
"46",-24,-23,FALSE,358,4603.73933433148,3729.72728216241,4972.29926692511,2519.70665893146,2995.82560754339,1085.68379888268,2,0,3419.26815289767,NA,NA,NA,NA,NA,NA,NA,NA,-57.8207628341877,248.435191471263,NA,NA,NA,NA,425.330749276531,NA,-57.8207628341877
"47",-23,-30,TRUE,11,4784.02303588952,3226.43237704842,3749.21260223893,2305.2357417947,2982.30043213964,608.7,8,0,2967.63284567071,NA,NA,NA,NA,NA,NA,NA,NA,470.731180218279,-276.557965444601,-988.313747049879,573.223527443916,-760.400475033875,901.511996198618,-144.206527134688,2338.17181834302,470.731180218279
"48",-23,-29,FALSE,30,4002.76883250753,3398.53425362187,3490.57984105145,2301.52844267579,2779.08465302835,514.178,7,0,2842.80967194996,NA,NA,NA,NA,NA,NA,NA,NA,-915.262590973754,-144.114665938038,NA,NA,NA,NA,13.2016059893895,NA,-915.262590973754
"49",-23,-29,TRUE,1779,4631.85068857459,3635.87002059453,4773.5888201837,2619.20516300895,3022.76407271042,1010.30600112423,7,0,3428.4479799265,NA,NA,NA,NA,NA,NA,NA,NA,-393.357500093048,-157.659277585697,27.7098979507466,730.0267490618,64.0995060336051,591.460133391588,-123.284456777929,2064.3683892307,-393.357500093048
"50",-23,-28,FALSE,726,4455.08349989389,3391.39528697888,4504.10794406982,2567.93264917563,2767.45776722913,974.726316804407,6,0,3369.28634430393,NA,NA,NA,NA,NA,NA,NA,NA,-331.219809116103,-207.031623295262,NA,NA,NA,NA,-155.747179280149,NA,-331.219809116103
"51",-23,-28,TRUE,1433,4522.91827061051,3527.77515206556,5041.57368929964,2677.93146816085,2908.68947942536,995.768238660153,6.04326587578507,0,3424.6250142128,NA,NA,NA,NA,NA,NA,NA,NA,-206.288157638374,-135.494305498371,180.760231613805,663.874926001264,157.523213569749,508.419236905842,-124.572293115373,2044.47381986665,-206.288157638374
"52",-23,-27,FALSE,1653,4299.7812524113,3278.87853874356,4378.63832384687,2545.53121734409,2696.77490008343,967.138670296431,5.02177858439201,0,3295.4273995547,NA,NA,NA,NA,NA,NA,NA,NA,-349.763926081774,-340.459946670764,NA,NA,NA,NA,-274.146860389885,NA,-349.763926081774
"53",-23,-27,TRUE,1160,4103.38256912296,3066.40124934271,4029.20295714401,2390.31998156279,2474.6962769268,886.174482758621,5.40172413793103,0,3027.41606762392,NA,NA,NA,NA,NA,NA,NA,NA,-335.413133935293,-268.974526557335,168.17159042373,619.221128766059,52.6292924631831,438.054976900268,-148.016795087169,1679.36623830218,-335.413133935293
"54",-23,-26,FALSE,2971,4350.94751515685,3448.70888470626,4767.7926228801,2559.98795111519,2759.7979010123,930.874135981151,4.10366879838438,0,3309.41660310579,NA,NA,NA,NA,NA,NA,NA,NA,-307.326733474783,-184.953626121115,NA,NA,NA,NA,-176.62945459963,NA,-307.326733474783
"55",-23,-26,TRUE,515,4075.05326819543,3186.95977289168,4152.08961531794,2373.11425332006,2453.58807485049,869.320605825243,4.04271844660194,0,3012.05960156732,NA,NA,NA,NA,NA,NA,NA,NA,-226.486438901391,-74.5386439854533,329.37367849111,803.285887115666,232.851488762502,656.873211304197,-128.081111946247,1742.4835564724,-226.486438901391
"56",-23,-25,FALSE,4388,4520.8610463896,3532.6211078373,4855.12729761604,2599.5205892915,2900.51619054173,945.945995442115,3.10711030082042,0,3428.03948128252,NA,NA,NA,NA,NA,NA,NA,NA,-272.660306887174,-239.25240523301,NA,NA,NA,NA,-205.905949346307,NA,-272.660306887174
"57",-23,-24,FALSE,7398,4512.72777828036,3558.51160327793,4761.68407110346,2649.44059869501,2916.74645813118,946.050281697756,2.10570424439038,0,3491.88184594117,NA,NA,NA,NA,NA,NA,NA,NA,-290.532313479563,-271.337407064482,NA,NA,NA,NA,-262.257459721895,NA,-290.532313479563
