time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
12551.0	-0.006756959894994807	-0.005736589001556602	-0.015639781734759772	81.71395275266772	0.9950135632176076	-0.047005403329837714	-0.051360716845051946	-0.049077881381619615	0.0024446288443524663	0.0
12552.0	-0.008916672024844363	-0.004964921175842574	0.0037579361826538538	81.60355559460066	1.0025275547192944	-0.0468190277668844	-0.04182960553286452	-0.04542602073460389	-0.0015071220046492602	0.0
12553.0	-0.006715104504448677	-0.006507638103397273	-0.01565421671077427	82.69601670432706	1.0025275547192944	-0.04792693346506249	-0.04758218170658368	-0.04973352428320388	-0.0017145884057006872	0.0
12554.0	-0.010259117046461652	-0.007620372171863843	-0.013606211027288873	83.78235454673833	1.0050032991989473	-0.04922706022247336	-0.06056390528337352	-0.05313120230953605	-0.00435333328029857	0.0
12555.0	-0.0035227045675149116	-0.005223011856703708	-0.009159406900785316	83.70422062389194	0.9988308397956789	-0.04802905542622671	-0.06713179568261618	-0.05128722514382633	-0.0026530259911097804	1.0
12556.0	-0.0005826003319608919	-0.0019960324729992873	0.0007769332072481427	83.70466826087636	1.0050032991989473	-0.04395321132993757	-0.05702793420992691	-0.04350611680918426	-0.0012395938500712762	2.0
12557.0	-0.0011926593839376443	-0.0011249613507018363	0.004096872944298835	82.89050928269303	1.0050032991989473	-0.03863268667013742	-0.0395608810918584	-0.03745733198698831	-0.0013072918833071693	2.0
12558.0	-0.0023697630189464247	-0.004270001751062513	-0.004753368580247219	82.61237678347592	1.0011606406084814	-0.037443527884127636	-0.05018124261965462	-0.03916746811993366	0.0005929468488089216	1.0
12559.0	-0.0036666360849196833	-0.0018972861225829973	-0.009730243399092231	82.79203041141265	0.9974690486732977	-0.03360422500515403	-0.04427170428398708	-0.033356792995801965	-0.0011764031135277073	2.0
12560.0	-0.0004867357892441859	-0.003041925545449242	-0.0024354193506080923	83.20033856856953	1.0050032991989473	-0.0316812293747607	-0.050465059817249025	-0.03081894743033764	0.0013787866426772694	2.0
12561.0	-0.008865350548309725	-0.006828200515396787	-0.014398796288965232	83.48125331944453	0.9974690486732977	-0.032001791786760214	-0.049209639395439986	-0.0317307087254205	-0.0006583633902356269	1.0
12562.0	-0.00782464081751344	-0.007203562658172014	-0.010298864769722194	83.98164026963539	0.9974690486732977	-0.031584982273068385	-0.04590229313787331	-0.030382535702185853	-0.001279441549577037	1.0
12563.0	-0.0049563404056294225	-0.006664612870889486	0.0006018916587730017	84.08590017478546	1.0050032991989473	-0.03302658328725416	-0.03614099457831499	-0.030750544695219317	0.0004288309156829913	1.0
12564.0	-0.005176060845027974	-0.0031544256529570935	-0.006894191710003383	83.85415776497499	0.9999950537866926	-0.03418497646721197	-0.043812119495566515	-0.03239046966215453	-0.0015928042763878425	2.0
12565.0	2.952932787503304e-05	-0.003200220767130668	-0.003594818062668259	83.6208764848525	0.9988308397956789	-0.0362602358836408	-0.05150381050253361	-0.03563203364823142	0.0016369458186178394	2.0
12566.0	-0.007479853912402468	-0.007933897740226903	-0.01790978545159505	84.51318720661173	0.9950135632176076	-0.03992413187280519	-0.06466022737388144	-0.03879272092135588	0.0020909896464423256	1.0
12567.0	-0.014083980750995928	-0.009761080380586873	-0.008342016140581499	85.12991014540872	0.9988308397956789	-0.047787926130809066	-0.06327200011537071	-0.04632923623254481	-0.002231910723966735	0.0
12568.0	-0.008612444215286286	-0.007741272484172446	0.0014330928730724724	84.50443662196301	0.9988308397956789	-0.05248727306953227	-0.05940348789169014	-0.052642039047257616	-0.003103082455080606	0.0
12569.0	-0.004256002071602594	-0.006237112299645187	-0.004943513661161525	85.03334190876896	1.0050032991989473	-0.05189618485378067	-0.049948205263886436	-0.04785883942719471	-0.001121972227038025	1.0
12570.0	-0.006722971441163739	-0.007156230069845337	-0.004944162422413467	84.84042628503015	1.0025275547192944	-0.05184885226545399	-0.04459350291657771	-0.05177371725634705	-0.0006887135983564657	0.0
12571.0	-0.006637968277707906	-0.006470151777896893	-0.009328154910923425	84.63825010329333	0.9950135632176076	-0.0516543911724614	-0.05452354948627414	-0.054002592502330526	-0.0008565300981673947	0.0
12572.0	-0.009551719652497459	-0.007062606558958517	-0.008272356793145197	85.2916386851489	0.9988308397956789	-0.055562572078462824	-0.05590171456941595	-0.057184890905863206	-0.0033456431917063528	0.0
12573.0	-0.0023874977319580104	-0.0071232888536902905	-0.0060202744161673705	85.72083754037409	1.0025275547192944	-0.059485640165022446	-0.05832717092291506	-0.058377031417841896	0.0013901479300258502	0.0
12574.0	-0.006439870081234922	-0.0056508507354714466	-0.0007010364866804064	85.11538643507086	0.9999950537866926	-0.05720259316026699	-0.04111842195800042	-0.05954278053447348	0.0006011285842623724	0.0
